2025-05-19 13:44:41,279 [ERROR] Failed: https://firesmoke.ca/forecasts/BSC06CA12-01/2025051014/dispersion.nc -> /usr/sci/cedmav/data/firesmoke/download_5-19-2025/BSC06CA12-01/dispersion_20250510.nc | Header Content-Type: text/html
2025-05-19 13:44:41,545 [ERROR] Failed: https://firesmoke.ca/forecasts/BSC06CA12-01/2025051114/dispersion.nc -> /usr/sci/cedmav/data/firesmoke/download_5-19-2025/BSC06CA12-01/dispersion_20250511.nc | Header Content-Type: text/html
2025-05-19 13:44:41,822 [ERROR] Failed: https://firesmoke.ca/forecasts/BSC06CA12-01/2025051214/dispersion.nc -> /usr/sci/cedmav/data/firesmoke/download_5-19-2025/BSC06CA12-01/dispersion_20250512.nc | Header Content-Type: text/html
2025-05-19 13:44:42,085 [ERROR] Failed: https://firesmoke.ca/forecasts/BSC06CA12-01/2025051314/dispersion.nc -> /usr/sci/cedmav/data/firesmoke/download_5-19-2025/BSC06CA12-01/dispersion_20250513.nc | Header Content-Type: text/html
2025-05-19 13:44:42,349 [ERROR] Failed: https://firesmoke.ca/forecasts/BSC06CA12-01/2025051414/dispersion.nc -> /usr/sci/cedmav/data/firesmoke/download_5-19-2025/BSC06CA12-01/dispersion_20250514.nc | Header Content-Type: text/html
2025-05-19 13:44:42,611 [ERROR] Failed: https://firesmoke.ca/forecasts/BSC06CA12-01/2025051514/dispersion.nc -> /usr/sci/cedmav/data/firesmoke/download_5-19-2025/BSC06CA12-01/dispersion_20250515.nc | Header Content-Type: text/html
2025-05-19 13:44:42,876 [ERROR] Failed: https://firesmoke.ca/forecasts/BSC06CA12-01/2025051614/dispersion.nc -> /usr/sci/cedmav/data/firesmoke/download_5-19-2025/BSC06CA12-01/dispersion_20250516.nc | Header Content-Type: text/html
2025-05-19 13:44:43,142 [ERROR] Failed: https://firesmoke.ca/forecasts/BSC06CA12-01/2025051714/dispersion.nc -> /usr/sci/cedmav/data/firesmoke/download_5-19-2025/BSC06CA12-01/dispersion_20250517.nc | Header Content-Type: text/html
2025-05-19 13:44:43,406 [ERROR] Failed: https://firesmoke.ca/forecasts/BSC06CA12-01/2025051814/dispersion.nc -> /usr/sci/cedmav/data/firesmoke/download_5-19-2025/BSC06CA12-01/dispersion_20250518.nc | Header Content-Type: text/html
2025-05-19 13:44:43,668 [ERROR] Failed: https://firesmoke.ca/forecasts/BSC06CA12-01/2025051914/dispersion.nc -> /usr/sci/cedmav/data/firesmoke/download_5-19-2025/BSC06CA12-01/dispersion_20250519.nc | Header Content-Type: text/html
2025-05-19 13:44:43,938 [ERROR] Failed: https://firesmoke.ca/forecasts/BSC12CA12-01/2025041420/dispersion.nc -> /usr/sci/cedmav/data/firesmoke/download_5-19-2025/BSC12CA12-01/dispersion_20250414.nc | Header Content-Type: text/html
